year,housing_price_index,housing_price_growth,ipva_unifamiliar,ipva_colectiva,total_population,foreign_population,foreign_population_pct,immigration_flow,unemployment_total,gdp_growth,Euribor
2007,149.3525625,,,,45010331.5,5380529.5,11.95398771946392,,2023000.0,3.53350013165972,4.607
2008,149.30765,-0.0300714626171982,,,45826053.5,5985693.5,13.06176954557084,599074.0,2539000.0,0.767165748290694,4.35
2009,141.39648749999998,-5.298564741994138,,,46303410.5,6247024.0,13.491498644576083,392963.0,3644000.0,-3.76813306940053,1.231
2010,137.984125,-2.413329043976409,,,46524552.0,6279882.5,13.49799671364917,360704.0,4060000.0,0.0941223116369514,1.541
2011,127.8243,-7.363039045252496,102.42,105.029,46701716.0,6283373.5,13.454266862485309,371335.0,4257000.0,-0.639920636520344,2.044
2012,110.8575625,-13.273483602100688,101.106,103.434,46783759.5,6262790.5,13.386676417058789,304054.0,4720000.0,-2.86511368637748,0.588
2013,98.328625,-11.301833828431862,99.347,100.629,46646887.0,6105987.0,13.089805971403838,280772.0,4845000.0,-1.42732224757626,0.506
2014,97.412425,-0.9317734281344858,99.367,99.786,46464397.0,5927698.0,12.757505493937648,305454.0,4447000.0,1.52048593647231,0.335
2015,100.0000125,2.6563218193161653,100.0,100.0,46405050.5,5882905.0,12.677294683689656,342114.0,4130000.0,4.06086672473866,0.079
2016,103.2233875,3.2233745970781547,101.744,101.673,46422992.0,5929148.0,12.772007456994588,414746.0,4150755.0,2.91515598595787,-0.074
2017,107.44325,4.0880875954589335,103.327,103.553,46503927.0,6041332.5,12.991015790989003,532132.0,3760231.0,2.89604207865007,-0.189
2018,113.3030125,5.453820970605405,105.205,106.378,46680226.5,6269993.5,13.43179750852323,643684.0,3476528.0,2.39541124478878,-0.147
2019,118.697675,4.761270138338114,106.79,110.4,47003364.5,6656576.5,14.161914941216605,750480.0,3285761.0,1.96117850841711,-0.272
2020,121.5112875,2.3704023688753795,107.422,111.382,47331451.0,7079393.0,14.957058890926458,467918.0,3253853.0,-10.9,-0.481
2021,126.4002125,4.023432802487581,109.513,113.088,47382073.5,7289672.5,15.384874408250624,528856.0,3964353.0,6.7,-0.487
2022,135.77545,7.41710580589412,112.215,116.115,47486727.0,8359732.4,17.604355844528936,1258894.0,3123078.0,6.4,3.018
2023,141.11790000000002,3.934768767107766,114.608,119.24,48085361.0,9423074.75,19.59655611195266,1250991.0,2908397.0,2.5,4.022
2024,152.91875,8.362404769345332,,,48619695.0,10518352.45,21.633933429652323,1288562.0,2767860.0,3.5,2.506
2025,170.32203333333334,11.380738682034307,,,49096877.0,11613630.149999999,23.654519105156115,1288562.0,2599443.0,3.0,2.218
