Total Nacional;Comunidades y Ciudades Autónomas;General, vivienda nueva y de segunda mano;Índices y tasas;Periodo;Total
Nacional;;General;Índice;2025T3;183,389
Nacional;;General;Índice;2025T2;178,184
Nacional;;General;Índice;2025T1;171,296
Nacional;;General;Índice;2024T4;165,433
Nacional;;General;Índice;2024T3;162,521
Nacional;;General;Índice;2024T2;158,083
Nacional;;General;Índice;2024T1;152,618
Nacional;;General;Índice;2023T4;148,690
Nacional;;General;Índice;2023T3;150,273
Nacional;;General;Índice;2023T2;146,583
Nacional;;General;Índice;2023T1;143,580
Nacional;;General;Índice;2022T4;142,666
Nacional;;General;Índice;2022T3;143,860
Nacional;;General;Índice;2022T2;141,433
Nacional;;General;Índice;2022T1;138,742
Nacional;;General;Índice;2021T4;135,291
Nacional;;General;Índice;2021T3;133,652
Nacional;;General;Índice;2021T2;130,937
Nacional;;General;Índice;2021T1;127,831
Nacional;;General;Índice;2020T4;127,179
Nacional;;General;Índice;2020T3;128,255
Nacional;;General;Índice;2020T2;126,799
Nacional;;General;Índice;2020T1;126,695
Nacional;;General;Índice;2019T4;125,320
Nacional;;General;Índice;2019T3;126,135
Nacional;;General;Índice;2019T2;124,175
Nacional;;General;Índice;2019T1;122,758
Nacional;;General;Índice;2018T4;120,954
Nacional;;General;Índice;2018T3;120,491
Nacional;;General;Índice;2018T2;117,941
Nacional;;General;Índice;2018T1;114,994
Nacional;;General;Índice;2017T4;113,457
Nacional;;General;Índice;2017T3;112,442
Nacional;;General;Índice;2017T2;110,410
Nacional;;General;Índice;2017T1;108,239
Nacional;;General;Índice;2016T4;105,848
Nacional;;General;Índice;2016T3;105,431
Nacional;;General;Índice;2016T2;104,601
Nacional;;General;Índice;2016T1;102,775
Nacional;;General;Índice;2015T4;101,305
Nacional;;General;Índice;2015T3;101,358
Nacional;;General;Índice;2015T2;100,687
Nacional;;General;Índice;2015T1;96,651
Nacional;;General;Índice;2014T4;97,194
Nacional;;General;Índice;2014T3;97,002
Nacional;;General;Índice;2014T2;96,805
Nacional;;General;Índice;2014T1;95,208
Nacional;;General;Índice;2013T4;95,512
Nacional;;General;Índice;2013T3;96,742
Nacional;;General;Índice;2013T2;96,041
Nacional;;General;Índice;2013T1;96,768
Nacional;;General;Índice;2012T4;103,593
Nacional;;General;Índice;2012T3;105,073
Nacional;;General;Índice;2012T2;109,187
Nacional;;General;Índice;2012T1;112,861
Nacional;;General;Índice;2011T4;118,782
Nacional;;General;Índice;2011T3;123,948
Nacional;;General;Índice;2011T2;127,528
Nacional;;General;Índice;2011T1;129,059
Nacional;;General;Índice;2010T4;133,718
Nacional;;General;Índice;2010T3;133,846
Nacional;;General;Índice;2010T2;136,790
Nacional;;General;Índice;2010T1;134,626
Nacional;;General;Índice;2009T4;136,313
Nacional;;General;Índice;2009T3;136,845
Nacional;;General;Índice;2009T2;138,082
Nacional;;General;Índice;2009T1;138,693
Nacional;;General;Índice;2008T4;142,511
Nacional;;General;Índice;2008T3;147,134
Nacional;;General;Índice;2008T2;149,618
Nacional;;General;Índice;2008T1;150,082
Nacional;;General;Índice;2007T4;150,640
Nacional;;General;Índice;2007T3;151,719
Nacional;;General;Índice;2007T2;150,103
Nacional;;General;Índice;2007T1;145,935
Nacional;01 Andalucía;General;Índice;2025T3;182,372
Nacional;01 Andalucía;General;Índice;2025T2;177,504
Nacional;01 Andalucía;General;Índice;2025T1;170,858
Nacional;01 Andalucía;General;Índice;2024T4;165,457
Nacional;01 Andalucía;General;Índice;2024T3;162,275
Nacional;01 Andalucía;General;Índice;2024T2;156,273
Nacional;01 Andalucía;General;Índice;2024T1;149,880
Nacional;01 Andalucía;General;Índice;2023T4;145,927
Nacional;01 Andalucía;General;Índice;2023T3;146,784
Nacional;01 Andalucía;General;Índice;2023T2;142,672
Nacional;01 Andalucía;General;Índice;2023T1;138,890
Nacional;01 Andalucía;General;Índice;2022T4;138,587
Nacional;01 Andalucía;General;Índice;2022T3;138,730
Nacional;01 Andalucía;General;Índice;2022T2;136,525
Nacional;01 Andalucía;General;Índice;2022T1;133,300
Nacional;01 Andalucía;General;Índice;2021T4;130,178
Nacional;01 Andalucía;General;Índice;2021T3;128,119
Nacional;01 Andalucía;General;Índice;2021T2;123,878
Nacional;01 Andalucía;General;Índice;2021T1;120,217
Nacional;01 Andalucía;General;Índice;2020T4;120,518
Nacional;01 Andalucía;General;Índice;2020T3;120,819
Nacional;01 Andalucía;General;Índice;2020T2;119,613
Nacional;01 Andalucía;General;Índice;2020T1;119,440
Nacional;01 Andalucía;General;Índice;2019T4;118,553
Nacional;01 Andalucía;General;Índice;2019T3;119,331
Nacional;01 Andalucía;General;Índice;2019T2;116,842
Nacional;01 Andalucía;General;Índice;2019T1;114,705
Nacional;01 Andalucía;General;Índice;2018T4;113,831
Nacional;01 Andalucía;General;Índice;2018T3;112,673
Nacional;01 Andalucía;General;Índice;2018T2;110,695
Nacional;01 Andalucía;General;Índice;2018T1;108,283
Nacional;01 Andalucía;General;Índice;2017T4;107,763
Nacional;01 Andalucía;General;Índice;2017T3;106,913
Nacional;01 Andalucía;General;Índice;2017T2;105,676
Nacional;01 Andalucía;General;Índice;2017T1;104,051
Nacional;01 Andalucía;General;Índice;2016T4;103,142
Nacional;01 Andalucía;General;Índice;2016T3;103,113
Nacional;01 Andalucía;General;Índice;2016T2;103,201
Nacional;01 Andalucía;General;Índice;2016T1;101,910
Nacional;01 Andalucía;General;Índice;2015T4;101,029
Nacional;01 Andalucía;General;Índice;2015T3;101,734
Nacional;01 Andalucía;General;Índice;2015T2;100,600
Nacional;01 Andalucía;General;Índice;2015T1;96,637
Nacional;01 Andalucía;General;Índice;2014T4;98,094
Nacional;01 Andalucía;General;Índice;2014T3;97,478
Nacional;01 Andalucía;General;Índice;2014T2;97,214
Nacional;01 Andalucía;General;Índice;2014T1;95,522
Nacional;01 Andalucía;General;Índice;2013T4;96,389
Nacional;01 Andalucía;General;Índice;2013T3;97,433
Nacional;01 Andalucía;General;Índice;2013T2;96,563
Nacional;01 Andalucía;General;Índice;2013T1;97,307
Nacional;01 Andalucía;General;Índice;2012T4;102,861
Nacional;01 Andalucía;General;Índice;2012T3;104,624
Nacional;01 Andalucía;General;Índice;2012T2;106,719
Nacional;01 Andalucía;General;Índice;2012T1;110,865
Nacional;01 Andalucía;General;Índice;2011T4;116,257
Nacional;01 Andalucía;General;Índice;2011T3;119,932
Nacional;01 Andalucía;General;Índice;2011T2;122,836
Nacional;01 Andalucía;General;Índice;2011T1;122,879
Nacional;01 Andalucía;General;Índice;2010T4;126,862
Nacional;01 Andalucía;General;Índice;2010T3;127,118
Nacional;01 Andalucía;General;Índice;2010T2;130,094
Nacional;01 Andalucía;General;Índice;2010T1;128,360
Nacional;01 Andalucía;General;Índice;2009T4;129,541
Nacional;01 Andalucía;General;Índice;2009T3;129,930
Nacional;01 Andalucía;General;Índice;2009T2;130,679
Nacional;01 Andalucía;General;Índice;2009T1;130,500
Nacional;01 Andalucía;General;Índice;2008T4;131,847
Nacional;01 Andalucía;General;Índice;2008T3;135,361
Nacional;01 Andalucía;General;Índice;2008T2;135,178
Nacional;01 Andalucía;General;Índice;2008T1;135,751
Nacional;01 Andalucía;General;Índice;2007T4;135,785
Nacional;01 Andalucía;General;Índice;2007T3;133,943
Nacional;01 Andalucía;General;Índice;2007T2;130,901
Nacional;01 Andalucía;General;Índice;2007T1;127,081
Nacional;02 Aragón;General;Índice;2025T3;176,563
Nacional;02 Aragón;General;Índice;2025T2;170,432
Nacional;02 Aragón;General;Índice;2025T1;162,696
Nacional;02 Aragón;General;Índice;2024T4;156,497
Nacional;02 Aragón;General;Índice;2024T3;154,092
Nacional;02 Aragón;General;Índice;2024T2;149,893
Nacional;02 Aragón;General;Índice;2024T1;143,668
Nacional;02 Aragón;General;Índice;2023T4;138,068
Nacional;02 Aragón;General;Índice;2023T3;139,690
