Tipo de vivienda;Tamaño del municipio;Total
Total viviendas familiares (1.1+1.2);Total (tamaño de municipio);26.626.315
Total viviendas familiares (1.1+1.2);Menos de 101 habitantes;158.791
Total viviendas familiares (1.1+1.2);De 101 a 500;816.300
Total viviendas familiares (1.1+1.2);De 501 a 1.000;687.614
Total viviendas familiares (1.1+1.2);De 1.001 a 2.000;1.023.583
Total viviendas familiares (1.1+1.2);De 2.001 a 5.000;2.038.679
Total viviendas familiares (1.1+1.2);De 5.001 a 10.000;2.372.751
Total viviendas familiares (1.1+1.2);De 10.001 a 20.000;2.869.628
Total viviendas familiares (1.1+1.2);De 20.001 a 50.000;4.286.695
Total viviendas familiares (1.1+1.2);De 50.001 a 100.000;3.239.261
Total viviendas familiares (1.1+1.2);De 100.001 a 500.000;5.447.727
Total viviendas familiares (1.1+1.2);Más de 500.000;3.685.286
1.1 Total viviendas principales (1.11+1.12);Total (tamaño de municipio);18.539.223
1.1 Total viviendas principales (1.11+1.12);Menos de 101 habitantes;39.835
1.1 Total viviendas principales (1.11+1.12);De 101 a 500;296.627
1.1 Total viviendas principales (1.11+1.12);De 501 a 1.000;309.198
1.1 Total viviendas principales (1.11+1.12);De 1.001 a 2.000;514.677
1.1 Total viviendas principales (1.11+1.12);De 2.001 a 5.000;1.187.931
1.1 Total viviendas principales (1.11+1.12);De 5.001 a 10.000;1.505.656
1.1 Total viviendas principales (1.11+1.12);De 10.001 a 20.000;1.877.494
1.1 Total viviendas principales (1.11+1.12);De 20.001 a 50.000;2.978.347
1.1 Total viviendas principales (1.11+1.12);De 50.001 a 100.000;2.350.255
1.1 Total viviendas principales (1.11+1.12);De 100.001 a 500.000;4.396.998
1.1 Total viviendas principales (1.11+1.12);Más de 500.000;3.082.205
1.11 Viviendas principales convencionales;Total (tamaño de municipio);18.536.616
1.11 Viviendas principales convencionales;Menos de 101 habitantes;39.835
1.11 Viviendas principales convencionales;De 101 a 500;296.626
1.11 Viviendas principales convencionales;De 501 a 1.000;309.198
1.11 Viviendas principales convencionales;De 1.001 a 2.000;514.677
1.11 Viviendas principales convencionales;De 2.001 a 5.000;1.187.670
1.11 Viviendas principales convencionales;De 5.001 a 10.000;1.505.625
1.11 Viviendas principales convencionales;De 10.001 a 20.000;1.877.199
1.11 Viviendas principales convencionales;De 20.001 a 50.000;2.977.786
1.11 Viviendas principales convencionales;De 50.001 a 100.000;2.349.487
1.11 Viviendas principales convencionales;De 100.001 a 500.000;4.396.423
1.11 Viviendas principales convencionales;Más de 500.000;3.082.090
1.12 Alojamientos;Total (tamaño de municipio);2.607
1.12 Alojamientos;Menos de 101 habitantes;0
1.12 Alojamientos;De 101 a 500;1
1.12 Alojamientos;De 501 a 1.000;0
1.12 Alojamientos;De 1.001 a 2.000;0
1.12 Alojamientos;De 2.001 a 5.000;261
1.12 Alojamientos;De 5.001 a 10.000;31
1.12 Alojamientos;De 10.001 a 20.000;295
1.12 Alojamientos;De 20.001 a 50.000;561
1.12 Alojamientos;De 50.001 a 100.000;768
1.12 Alojamientos;De 100.001 a 500.000;575
1.12 Alojamientos;Más de 500.000;115
1.2 Total viviendas no principales;Total (tamaño de municipio);8.087.092
1.2 Total viviendas no principales;Menos de 101 habitantes;118.956
1.2 Total viviendas no principales;De 101 a 500;519.673
1.2 Total viviendas no principales;De 501 a 1.000;378.416
1.2 Total viviendas no principales;De 1.001 a 2.000;508.906
1.2 Total viviendas no principales;De 2.001 a 5.000;850.748
1.2 Total viviendas no principales;De 5.001 a 10.000;867.095
1.2 Total viviendas no principales;De 10.001 a 20.000;992.134
1.2 Total viviendas no principales;De 20.001 a 50.000;1.308.348
1.2 Total viviendas no principales;De 50.001 a 100.000;889.006
1.2 Total viviendas no principales;De 100.001 a 500.000;1.050.729
1.2 Total viviendas no principales;Más de 500.000;603.081
