País de nacimiento;Grupo quinquenal de edad;Sexo;Periodo;Total
Total;Todas las edades;Total;1 de enero de 2025;49.128.297
Total;Todas las edades;Total;1 de octubre de 2024;48.999.880
Total;Todas las edades;Total;1 de julio de 2024;48.821.936
Total;Todas las edades;Total;1 de abril de 2024;48.701.130
Total;Todas las edades;Total;1 de enero de 2024;48.619.695
Total;Todas las edades;Total;1 de octubre de 2023;48.486.865
Total;Todas las edades;Total;1 de julio de 2023;48.320.520
Total;Todas las edades;Total;1 de abril de 2023;48.205.962
Total;Todas las edades;Total;1 de enero de 2023;48.085.361
Total;Todas las edades;Total;1 de octubre de 2022;47.940.295
Total;Todas las edades;Total;1 de julio de 2022;47.781.354
Total;Todas las edades;Total;1 de abril de 2022;47.609.145
Total;Todas las edades;Total;1 de enero de 2022;47.486.727
Total;Todas las edades;Total;1 de octubre de 2021;47.424.595
Total;Todas las edades;Total;1 de julio de 2021;47.346.836
Total;Todas las edades;Total;1 de abril de 2021;47.356.065
Total;Todas las edades;Total;1 de enero de 2021;47.400.798
Total;Todas las edades;Total;1 de octubre de 2020;""
Total;Todas las edades;Total;1 de julio de 2020;47.344.852
Total;Todas las edades;Total;1 de abril de 2020;""
Total;Todas las edades;Total;1 de enero de 2020;47.318.050
Total;Todas las edades;Total;1 de octubre de 2019;""
Total;Todas las edades;Total;1 de julio de 2019;47.087.778
Total;Todas las edades;Total;1 de abril de 2019;""
Total;Todas las edades;Total;1 de enero de 2019;46.918.951
Total;Todas las edades;Total;1 de octubre de 2018;""
Total;Todas las edades;Total;1 de julio de 2018;46.715.383
Total;Todas las edades;Total;1 de abril de 2018;""
Total;Todas las edades;Total;1 de enero de 2018;46.645.070
Total;Todas las edades;Total;1 de octubre de 2017;""
Total;Todas las edades;Total;1 de julio de 2017;46.510.461
Total;Todas las edades;Total;1 de abril de 2017;""
Total;Todas las edades;Total;1 de enero de 2017;46.497.393
Total;Todas las edades;Total;1 de octubre de 2016;""
Total;Todas las edades;Total;1 de julio de 2016;46.427.100
Total;Todas las edades;Total;1 de abril de 2016;""
Total;Todas las edades;Total;1 de enero de 2016;46.418.884
Total;Todas las edades;Total;1 de octubre de 2015;""
Total;Todas las edades;Total;1 de julio de 2015;46.384.379
Total;Todas las edades;Total;1 de abril de 2015;""
Total;Todas las edades;Total;1 de enero de 2015;46.425.722
Total;Todas las edades;Total;1 de octubre de 2014;""
Total;Todas las edades;Total;1 de julio de 2014;46.433.050
Total;Todas las edades;Total;1 de abril de 2014;""
