Escenario,Año,IPH,Poblacion_Ext,Paro,Euribor
A: Tendencia Actual (Boom),2025,170.32,11613630,2599443.0,2.218
A: Tendencia Actual (Boom),2026,173.65,12213630,2599442.5,2.2
A: Tendencia Actual (Boom),2027,176.83,12863630,2599442.0,2.1
A: Tendencia Actual (Boom),2028,180.28,13563630,2599441.6,2.0
A: Tendencia Actual (Boom),2029,184.34,14313630,2599441.2,2.0
A: Tendencia Actual (Boom),2030,188.67,15113630,2599440.9,2.0
B: Frenazo y Ajuste (Caída),2025,170.32,11613630,2599443.0,2.218
B: Frenazo y Ajuste (Caída),2026,171.5,11713630,2599443.5,2.2
B: Frenazo y Ajuste (Caída),2027,171.44,11763630,2599444.3,2.1
B: Frenazo y Ajuste (Caída),2028,171.1,11763630,2599445.1,2.0
B: Frenazo y Ajuste (Caída),2029,170.83,11713630,2599445.6,2.0
B: Frenazo y Ajuste (Caída),2030,170.56,11663630,2599446.1,2.0
C: Estabilización,2025,170.32,11613630,2599443.0,2.218
C: Estabilización,2026,172.57,11963630,2599442.9,2.2
C: Estabilización,2027,174.13,12313630,2599442.9,2.1
C: Estabilización,2028,175.69,12663630,2599442.9,2.0
C: Estabilización,2029,177.59,13013630,2599442.9,2.0
C: Estabilización,2030,179.48,13363630,2599442.9,2.0
